stock_code,price_code,price,min,currency,display_price_range
MS24585-C451,K,1.076,899,$,800-899
MS24585-C451,L,0.981,999,$,900-999
MS24585-C452,A,16.41,19,$,0-19
MS24585-C452,B,10.33,49,$,20-49
MS24585-C452,C,6.79,99,$,50-99
MS24585-C452,D,4.9,199,$,100-199
MS24585-C452,E,3.079,299,$,200-299
MS24585-C452,F,2.306,399,$,300-399
MS24585-C452,G,1.863,499,$,400-499
MS24585-C452,H,1.575,599,$,500-599
MS24585-C452,I,1.369,699,$,600-699
MS24585-C452,J,1.216,799,$,700-799
MS24585-C452,K,1.096,899,$,800-899
MS24585-C452,L,0.999,999,$,900-999
MS24585-C453,A,16.41,19,$,0-19
MS24585-C453,B,10.33,49,$,20-49
MS24585-C453,C,6.79,99,$,50-99
MS24585-C453,D,4.9,199,$,100-199
MS24585-C453,E,3.108,299,$,200-299
MS24585-C453,F,2.335,399,$,300-399
MS24585-C453,G,1.891,499,$,400-499
MS24585-C453,H,1.6,599,$,500-599
MS24585-C453,I,1.395,699,$,600-699
MS24585-C453,J,1.238,799,$,700-799
MS24585-C453,K,1.116,899,$,800-899
MS24585-C453,L,1.018,999,$,900-999
MS24585-C454,A,16.41,19,$,0-19
MS24585-C454,B,10.33,49,$,20-49
MS24585-C454,C,6.79,99,$,50-99
MS24585-C454,D,4.9,199,$,100-199
MS24585-C454,E,3.12,299,$,200-299
MS24585-C454,F,2.347,399,$,300-399
MS24585-C454,G,1.904,499,$,400-499
